duration,src_bytes,dst_bytes,original_target,intrusion
4.096009841541162,5.5801071132949795,5.313698468586339,normal.,0
-2.3025850929940455,5.627980761239919,6.049969276480545,normal.,0
-2.3025850929940455,5.318610069815799,7.114850745874739,normal.,0
-2.3025850929940455,5.652839995918626,7.4343164471341865,normal.,0
-2.3025850929940455,6.1781515614115765,9.11373034774,normal.,0
-2.3025850929940455,5.768633446975818,5.937800022522289,normal.,0
-2.3025850929940455,5.429784129290343,7.095147292589197,normal.,0
-2.3025850929940455,5.727173427446777,10.180820001928216,normal.,0
-2.3025850929940455,5.43415858945945,9.440586639177399,normal.,0
-2.3025850929940455,5.743323649276734,7.505547278725227,normal.,0
-2.3025850929940455,5.642261618007951,5.9482960517066035,normal.,0
-2.3025850929940455,5.481055503227208,7.2605928696896145,normal.,0
-2.3025850929940455,5.677096209393695,7.762213159424332,normal.,0
-2.3025850929940455,5.733664849138071,7.870586026291187,normal.,0
-2.3025850929940455,5.352331954854275,8.766877402726355,normal.,0
-2.3025850929940455,5.749711406544601,7.725374187052922,normal.,0
-2.3025850929940455,5.891920416771596,9.300098805681444,normal.,0
-2.3025850929940455,5.694068782468562,5.921846480227112,normal.,0
-2.3025850929940455,5.74652262833236,10.070191960684971,normal.,0
-2.3025850929940455,5.663307642090483,8.737468633634938,normal.,0
-2.3025850929940455,5.680513847716846,8.337372504837848,normal.,0
-2.3025850929940455,5.333201768401539,6.946110232858601,normal.,0
-2.3025850929940455,5.743323649276734,8.556625420659952,normal.,0
-2.3025850929940455,5.501666290534067,6.2128064764755635,normal.,0
-2.3025850929940455,5.6598305871270185,8.402253609311417,normal.,0
-2.3025850929940455,5.4120923808068815,7.413427647507327,normal.,0
-2.3025850929940455,10.824728014261197,9.025708147644988,back.,1
2.5726122302071057,10.906691489914584,9.025708147644988,back.,1
-2.3025850929940455,5.521860837883573,7.645923625189603,normal.,0
-2.3025850929940455,5.371103036273684,7.344137489725023,normal.,0
-2.3025850929940455,5.74652262833236,7.002246942074855,normal.,0
-2.3025850929940455,5.707442435487688,6.89172751790494,normal.,0
-2.3025850929940455,5.472690753492817,10.438842848789204,normal.,0
-2.3025850929940455,5.54556799320548,7.928802344032635,normal.,0
-2.3025850929940455,5.513831890697755,7.684829919477369,normal.,0
-2.3025850929940455,5.714062784063757,8.07778859987851,normal.,0
-2.3025850929940455,5.663307642090483,10.436996943244203,normal.,0
-2.3025850929940455,5.252796851246227,7.4742615585746845,normal.,0
-2.3025850929940455,5.509793112994564,9.871021177398294,normal.,0
-2.3025850929940455,5.476881874464279,9.297810810247723,normal.,0
-2.3025850929940455,5.743323649276734,7.41403056564931,normal.,0
-2.3025850929940455,6.021266038344772,8.822484310553875,normal.,0
-2.3025850929940455,5.553347106724568,9.15810979637253,normal.,0
-2.3025850929940455,5.687314281948894,10.270492458229395,normal.,0
-2.3025850929940455,5.347583607850955,7.442551303386707,normal.,0
-2.3025850929940455,5.690697235107546,8.422244946105721,normal.,0
-2.3025850929940455,5.849612922867741,7.056261487281361,normal.,0
-2.3025850929940455,5.247550249494384,7.5694633907067015,normal.,0
-2.3025850929940455,5.768633446975818,7.628566263524556,normal.,0
-2.3025850929940455,5.710758088392627,7.4091970114377865,normal.,0
-2.3025850929940455,5.464255444091467,6.728748223156012,normal.,0
